Designator,Mid X,Mid Y,Layer,Rotation
D1,36.591875,-17.859375,bottom,-90
D2,60.404375,-17.859375,bottom,-90
D3,79.454375,-17.859375,bottom,-90
D4,98.504375,-17.859375,bottom,-90
D5,117.554375,-17.859375,bottom,-90
D6,136.604375,-17.859375,bottom,-90
D7,155.654375,-17.859375,bottom,-90
D8,174.704375,-17.859375,bottom,-90
D9,193.754375,-17.859375,bottom,-90
D10,212.804375,-17.91875,bottom,-90
D11,231.854375,-17.859375,bottom,-90
D12,250.904375,-17.859375,bottom,-90
D13,269.954375,-17.859375,bottom,-90
D14,277.098125,-17.859375,bottom,-90
D15,38.973125,-39.290625,bottom,90
D16,65.166875,-39.290625,bottom,90
D17,84.216875,-39.290625,bottom,90
D18,103.266875,-39.290625,bottom,90
D19,122.316875,-39.290625,bottom,90
D20,141.366875,-39.290625,bottom,90
D21,160.416875,-39.290625,bottom,90
D22,179.466875,-39.290625,bottom,90
D23,198.516875,-39.290625,bottom,90
D24,217.566875,-39.290625,bottom,90
D25,236.616875,-39.290625,bottom,90
D26,255.666875,-39.290625,bottom,90
D27,261.62,-39.290625,bottom,90
D28,52.07,-55.959375,bottom,-90
D29,74.691875,-55.959375,bottom,-90
D30,93.741875,-55.959375,bottom,-90
D31,112.791875,-55.959375,bottom,-90
D32,131.841875,-55.959375,bottom,-90
D33,150.891875,-55.959375,bottom,-90
D34,169.941875,-55.959375,bottom,-90
D35,188.991875,-55.959375,bottom,-90
D36,208.041875,-55.959375,bottom,-90
D37,227.091875,-55.959375,bottom,-90
D38,246.141875,-55.959375,bottom,-90
D39,256.8575,-58.340625,bottom,90
