Designator,Mid X,Mid Y,Layer,Rotation
A1,77.39069,-64.29375,bottom,180
D1,40.99001,-57.15,bottom,0
D2,33.84626,-57.15,bottom,180
D3,60.04001,-76.2,bottom,0
D4,37.47751,-76.2,bottom,180
D5,52.89626,-76.2,bottom,180
D6,56.52751,-95.25,bottom,0
D7,23.81252,-45.898475,bottom,90
D8,51.792185,-50.065625,bottom,-90
D9,54.76875,-50.065625,bottom,-90
D10,57.745315,-50.052196,bottom,-90
D11,48.815666,-45.898475,bottom,90
D12,51.792185,-45.885005,bottom,90
D13,54.76875,-45.886025,bottom,90
D14,57.745315,-45.875225,bottom,90
D15,60.72188,-45.885005,bottom,90
D16,26.789085,-45.898475,bottom,90
J1,24.08626,-97.869375,bottom,0
